"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000074416",2392.80973934457,-2.14804847934759,0.0594900049489019,-36.1077206363089,1.71590926290126e-285,7.85886442408779e-283,"MGLL","11343","monoglyceride lipase"
"ENSG00000181104",14922.5173336984,1.6681605132186,0.0463686107889198,35.9760727103177,1.98032489609617e-283,8.76755842331646e-281,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000166073",2268.80918089117,-2.20667217287836,0.0614138053145278,-35.9312073495039,9.95007308717316e-283,4.26312486270432e-280,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000104368",13214.4968037918,2.02764888857525,0.0565989508438684,35.8248493716542,4.53254731378512e-281,1.88129041942794e-278,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000115963",13232.3301349766,1.80530722004093,0.0504212482051134,35.8044928339923,9.4019235956798e-281,3.7841317938733e-278,"RND3","390","Rho family GTPase 3"
"ENSG00000091527",2814.15907315816,-1.81026791216355,0.0507296003533319,-35.6846476131297,6.84082016484513e-279,2.67234627733744e-276,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501712821944,0.0543927761685229,35.574891824316,3.42597652021609e-277,1.30010914690029e-274,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000074800",18390.4756149844,-1.33891672978784,0.0376661380267413,-35.5469607432881,9.2574243835672e-277,3.41547529618166e-274,"ENO1","2023","enolase 1"
"ENSG00000143799",1043.84682510942,-2.61746021968016,0.0738807049096004,-35.4281976990183,6.28527716075186e-275,2.25624462835422e-272,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000164938",1395.9221058483,2.31778729693096,0.0655361700906064,35.3665356661295,5.58473878834095e-274,1.95201317333538e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000110002",899.504360793506,4.43910356707278,0.125725505309175,35.3078999854203,4.44211698438738e-273,1.51282558427265e-270,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01206937191754,0.0856122624529859,-35.1826862836574,3.67922245756403e-271,1.22168581703414e-268,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000196549",1520.30148791169,2.83743488514582,0.0806877676067738,35.1656139375904,6.71061961855398e-271,2.17391340911302e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000133318",1500.97300012898,-2.41401748392172,0.0690836421596202,-34.9434020624454,1.63102337659259e-267,5.15791725902448e-265,"RTN3","10313","reticulon 3"
"ENSG00000073712",2356.74691021857,-2.30512991943383,0.0660504090703298,-34.8995555346122,7.55074906698839e-267,2.33230346762186e-264,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000198959",5110.85796803933,-1.74618122240869,0.0500404245735894,-34.8954118053247,8.72655820966111e-267,2.63423059410725e-264,"TGM2","7052","transglutaminase 2"
"ENSG00000154864",1374.01910088605,2.3578709944109,0.0675794180679297,34.890371385572,1.04060782367443e-266,3.07141180312085e-264,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000198901",744.768135087352,-3.17650241716681,0.0919186946538572,-34.5577407199779,1.09060098465952e-261,3.14899179961908e-259,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000197321",4211.22514661471,1.73275452032435,0.0508560367687477,34.0717568732995,1.93321745398949e-254,5.46319026040178e-252,"SVIL","6840","supervillin"
"ENSG00000146072",1758.22981855472,2.05909371227814,0.0613453348716829,33.5656120646368,5.32909943155882e-247,1.47460622187425e-244,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000277443",2830.20102519863,-1.92967363524899,0.0577209807265092,-33.4310611316894,4.85133556139119e-245,1.31500895768159e-242,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000182752",6930.41939676306,2.0147543892671,0.0602926215910379,33.4162677969634,7.95772622150636e-245,2.11389039348095e-242,"PAPPA","5069","pappalysin 1"
"ENSG00000140943",1848.88777327798,-1.89363363287125,0.0567427651494146,-33.3722480369956,3.46558435500097e-244,9.02546890257312e-242,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000081923",1549.06690179341,-2.52988351796438,0.0760804520247553,-33.252740364124,1.86337764133202e-242,4.75949650618689e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000145632",3262.15452178144,1.54678846222404,0.046900547201983,32.9801794329308,1.56286243465374e-238,3.9165922371832e-236,"PLK2","10769","polo like kinase 2"
"ENSG00000102024",3591.26703399212,-1.70351343465688,0.0519797593441072,-32.7726302728642,1.44561577656426e-235,3.55567939709751e-233,"PLS3","5358","plastin 3"
"ENSG00000163346",2917.79069939981,1.81053704414211,0.0554644266001396,32.6432121473974,1.00031251211883e-233,2.41566377926586e-231,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72412663302167,0.052827125537569,32.6371464560479,1.21955154415321e-233,2.89251493025766e-231,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000104321",7567.20986030082,3.29744633697211,0.101231296318793,32.5733884369904,9.76966579472213e-233,2.27650352781578e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000135046",4581.91768778281,-1.46396101499184,0.0451014986058895,-32.4592543539267,4.01017968531136e-231,9.183311479363e-229,"ANXA1","301","annexin A1"
"ENSG00000143341",2279.33849385387,2.05717871891931,0.0635444759155029,32.3738403579692,6.4090285073905e-230,1.4427918073756e-227,"HMCN1","83872","hemicentin 1"
"ENSG00000168542",62749.3849250663,1.40988123640714,0.0436394034603904,32.307527706854,5.48362096988566e-229,1.21389089536702e-226,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000163017",4893.9021785664,-1.87090411943403,0.058053041797939,-32.2274950888181,7.27256835041133e-228,1.58351234147809e-225,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68610856016169,0.0526456273691064,32.0275138586559,4.51526882566028e-225,9.67287105522901e-223,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000173334",1074.47707273372,2.41259537583415,0.0754657981004688,31.969387942101,2.90557676242104e-224,6.12569373944067e-222,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000171951",793.124579134863,2.98015394814088,0.09352205644868,31.8657871876056,7.95636722355446e-223,1.65119483536329e-220,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.3262548059669,0.135946196511695,31.8232868368239,3.08367916430489e-222,6.3011425631227e-220,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000134057",780.375869741297,-2.6698254815329,0.0841790606218984,-31.7160284494595,9.341529936919e-221,1.87991213063876e-218,"CCNB1","891","cyclin B1"
"ENSG00000113721",11145.9451572206,1.38868108054458,0.0445161303012096,31.195008891122,1.24515559644472e-213,2.4683815868625e-211,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000115461",200904.539632615,1.27117057105846,0.0408826797969646,31.0931322841718,2.98259007721295e-212,5.82570020669741e-210,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000105088",793.128211520276,2.86559883606609,0.0924571585965245,30.9938016651726,6.53365752346954e-211,1.25768172792351e-208,"OLFM2","93145","olfactomedin 2"
"ENSG00000160014",4226.55595021453,-1.42455569816823,0.0460418702514471,-30.9404394388921,3.41636087663717e-210,6.48230073764212e-208,"CALM3","808","calmodulin 3"
"ENSG00000164924",9585.69435022083,-1.3370832631496,0.043278481993128,-30.8948743479937,1.39965720933446e-209,2.61834465554652e-207,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000148175",3890.72249473237,1.38274751067814,0.0447780991859376,30.8799957080891,2.21725751857688e-209,4.09022421690807e-207,"STOM","2040","stomatin"
"ENSG00000183287",603.48721362449,-3.43626972966813,0.111632643297406,-30.7819435979259,4.5717738398585e-208,8.31812330698639e-206,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000164761",5291.78842553364,1.48921262931569,0.0486251596027438,30.6263802830101,5.45333935359117e-206,9.78800720194567e-204,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000092820",1475.49048809515,-1.91025763927667,0.0625617119743574,-30.5339732400488,9.23021305063253e-205,1.63460919651335e-202,"EZR","7430","ezrin"
"ENSG00000127920",2352.92723869813,2.10484837456799,0.0691359793150866,30.4450503980737,1.39296734570775e-203,2.43439372180136e-201,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000068489",527.868372422255,-3.28319497712565,0.107964299051215,-30.4100059554706,4.05074687546613e-203,6.98727532466769e-201,"PRR11","55771","proline rich 11"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899939,3.93391564265456e-202,6.69875225201767e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000112984",587.875352632019,-3.36403265512475,0.111222285884196,-30.2460305358887,5.88364024200448e-201,9.89196325244349e-199,"KIF20A","10112","kinesin family member 20A"
"ENSG00000135074",13374.6004179129,1.14189974190556,0.0381291194106196,29.9482327301669,4.63932070977602e-197,7.70243220840564e-195,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000133818",917.65645300902,-2.58028680951879,0.0863114812658236,-29.8950588227304,2.28144004959696e-196,3.74099836280826e-194,"RRAS2","22800","RAS related 2"
"ENSG00000066279",593.333577786577,-3.10038901713414,0.103804435311757,-29.8675967729385,5.1878862789382e-196,8.40311043376306e-194,"ASPM","259266","assembly factor for spindle microtubules"
"ENSG00000076513",2351.57847713981,-1.94451162022731,0.0651531796152098,-29.8452298370004,1.01236098885955e-195,1.62002152458223e-193,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000116991",845.465812777274,2.4202446244028,0.0816027809888069,29.6588497974692,2.60791689504753e-193,4.12361335714539e-191,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000111615",1215.27891511062,1.95673337311023,0.0660945897749926,29.6050460373774,1.28670993801594e-192,2.01059781137974e-190,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000128591",23487.8410667789,-1.33082223234059,0.0449890113154775,-29.5810508705878,2.61951098921154e-192,4.04562150682647e-190,"FLNC","2318","filamin C"
"ENSG00000089159",2841.04018824034,-1.52004182693492,0.0514982873286145,-29.5163568690239,1.77572869837778e-191,2.71094581285674e-189,"PXN","5829","paxillin"
"ENSG00000171246",11339.2021259297,1.7402277648109,0.0589999200672011,29.4954258044549,3.29533672456295e-191,4.97371163359604e-189,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000176014",5059.66070673934,-1.58283390190147,0.0538875294632704,-29.3729164737516,1.21829382338127e-189,1.81813242271349e-187,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000173546",2782.7113944163,-1.70829393536785,0.0583274003708745,-29.2880177156134,1.47384463351582e-188,2.17506715803967e-186,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000171617",3172.76514957676,1.72300162216173,0.0588438266377823,29.2809241106598,1.81456999222551e-188,2.64847457546585e-186,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000003436",3855.53263789867,1.53736821955748,0.0525943191250912,29.2306896473169,7.9027544795111e-188,1.14091722822681e-185,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000156011",1865.6956706154,1.7411849561403,0.0596403740771057,29.1947356649577,2.26181486109653e-187,3.23026075108431e-185,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000145147",601.510428483162,-2.68638160740706,0.0920907443893953,-29.171027177802,4.52157330813095e-187,6.38888688070162e-185,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000159399",1648.34458773227,1.92240799531359,0.066086799497473,29.08913746666,4.92603070217878e-186,6.88710945119353e-184,"HK2","3099","hexokinase 2"
"ENSG00000088448",1041.5088322989,2.36784169924933,0.081902291115046,28.9105672993114,8.79351857520538e-184,1.21661993454039e-181,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000065911",1563.07540926849,-1.94825290856206,0.067411494488488,-28.9009007046234,1.16321005090425e-183,1.59275833980519e-181,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000116729",14027.992136521,1.67569503652773,0.0579922778254683,28.895140859458,1.37414323559062e-183,1.86238474031782e-181,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000108932",593.620514665934,3.86327148952165,0.133749190768048,28.8844475793611,1.87222273951413e-183,2.51180428547744e-181,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000171444",1285.81453923875,1.85634885109162,0.0642892057582322,28.874969432235,2.46250689391181e-183,3.27070165649367e-181,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000157557",2128.88768598769,1.846646715797,0.0640079773480114,28.8502588631536,5.02912300357192e-183,6.6135457161824e-181,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000134250",3989.90689953644,-1.35594541551752,0.047100352353537,-28.7884346456635,2.99377215749651e-182,3.89836096037928e-180,"NOTCH2","4853","notch receptor 2"
"ENSG00000064666",5624.42477846777,-1.64271019035721,0.0570985578575845,-28.7697317059121,5.13169473262647e-182,6.61739509114028e-180,"CNN2","1265","calponin 2"
"ENSG00000171848",822.67379311788,-2.53282653468502,0.0880754062301812,-28.7574777465753,7.30331974194402e-182,9.32718200120197e-180,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000122641",8425.96553258607,1.3913360024799,0.0484317048160042,28.727793245472,1.71598110485501e-181,2.17063438425564e-179,"INHBA","3624","inhibin subunit beta A"
"ENSG00000117399",548.054729960495,-3.23355885062697,0.113110283334621,-28.5876646693646,9.5643682675331e-180,1.19843338989976e-177,"CDC20","991","cell division cycle 20"
"ENSG00000155903",1023.35613415789,2.05090227249067,0.0719362762490145,28.5099866080261,8.80915164472418e-179,1.09348740322642e-176,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000182481",2566.38058699848,-1.61373029998644,0.0568297693951727,-28.3958621891489,2.27458032965729e-177,2.7973125868989e-175,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000103257",3712.52147667185,-1.50761872802431,0.0530980394473792,-28.393114768736,2.45936621987618e-177,2.99681670939407e-175,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000135926",1251.33626199858,-1.85342679344535,0.065667085020391,-28.2245936890578,2.91920224235449e-175,3.52480401663203e-173,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000185112",747.773002441521,2.6552017135256,0.0941512674572251,28.2014441784537,5.61390430644328e-175,6.7174663962324e-173,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000108829",3850.57518186778,-1.47512164417393,0.0523891934042365,-28.1569833074514,1.96817667256329e-174,2.334046657588e-172,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000136153",4620.22110366109,-1.40309906315172,0.0498340063462102,-28.1554537960287,2.05489964310692e-174,2.41532540351735e-172,"LMO7","4008","LIM domain 7"
"ENSG00000057657",689.791384929011,2.83410975291124,0.100739173229217,28.1331448538163,3.85313550060123e-174,4.48924085254259e-172,"PRDM1","639","PR/SET domain 1"
"ENSG00000103449",1051.52143130918,2.35382514753367,0.0839519924498585,28.0377520395305,5.63411495871626e-173,6.50715781579733e-171,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000172795",852.701537725169,2.13212813379037,0.076284546713188,27.9496729764505,6.6529034014599e-172,7.61757439467158e-170,"DCP2","167227","decapping mRNA 2"
"ENSG00000166510",570.336073336896,2.83105251838232,0.101488521445431,27.8952976953609,3.0425733659738e-171,3.45397089289436e-169,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000141429",3588.58297366052,1.50609077002016,0.0540315754567085,27.8742708738315,5.47276610687142e-171,6.16010842639544e-169,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000109685",1268.17937848349,-1.89113797120667,0.0679960835544648,-27.8124543701385,3.06667181120756e-170,3.42281806692932e-168,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000184838",1048.67798618006,2.27795151429416,0.0819088596802435,27.8108073190964,3.21060411749439e-170,3.55360365738004e-168,"PRR16","51334","proline rich 16"
"ENSG00000161800",563.92368811932,-2.79241120436948,0.100506194286282,-27.7834736873588,6.87049884978248e-170,7.54165005973644e-168,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000163661",1909.80217231797,-1.64967077402845,0.0593796259572562,-27.7817643246178,7.20509675399586e-170,7.84410615463714e-168,"PTX3","5806","pentraxin 3"
"ENSG00000166851",502.683929770066,-3.32936342944243,0.120026058298564,-27.7386717237741,2.3869391915302e-169,2.57750620665888e-167,"PLK1","5347","polo like kinase 1"
"ENSG00000091039",4444.70184434491,1.57255887736677,0.056697794871723,27.7358031458655,2.58488611618228e-169,2.76874656412363e-167,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000135318",10396.875971113,-1.18101593659635,0.0425881987237312,-27.7310609978501,2.9487107465545e-169,3.13318209085895e-167,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000197565",563.648360733133,3.41278749578786,0.123105020404216,27.7225695961217,3.73262980889474e-169,3.93466580331269e-167,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000173801",2853.13714423843,1.54853893151317,0.0559804075507659,27.6621589456789,1.9929531072455e-168,2.08428371420746e-166,"JUP","3728","junction plakoglobin"
"ENSG00000076641",954.690284174,2.0326923306986,0.0738622105474424,27.5200581682156,1.01035535931838e-166,1.04840155331772e-164,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000113387",1168.42585268541,-2.03754837290353,0.0740755745134843,-27.5063458675251,1.47413074491695e-166,1.51778329875868e-164,"SUB1","10923","SUB1 regulator of transcription"
"ENSG00000102225",1340.69055489962,-1.74230511102239,0.0633543749727879,-27.5009438854183,1.71059041332621e-166,1.74769706690759e-164,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000089685",509.548185635596,-3.09774618642602,0.112863595096396,-27.4468147481945,7.5832432962523e-166,7.68859827945214e-164,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000100345",41759.3349472728,-1.22519143560977,0.044640021771516,-27.4460313187289,7.74828701673929e-166,7.79642031487358e-164,"MYH9","4627","myosin heavy chain 9"
"ENSG00000111206",489.637006535011,-3.02343258571537,0.110169643398025,-27.443427177051,8.32311337515328e-166,8.31184901118691e-164,"FOXM1","2305","forkhead box M1"
"ENSG00000038427",13753.9971136825,1.28373391053945,0.0467931512182053,27.4342265292876,1.07169414188763e-165,1.06225683526504e-163,"VCAN","1462","versican"
"ENSG00000076706",1719.55770882045,-1.57936847970356,0.0576957358020387,-27.3740937306453,5.58072133620593e-165,5.49060302129534e-163,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117032,27.2855920323941,6.28835886243668e-164,6.14132223609441e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000170759",4331.58598921615,-1.28568752010112,0.0472709483883781,-27.19825947933,6.81018436938487e-163,6.60239918205619e-161,"KIF5B","3799","kinesin family member 5B"
"ENSG00000136378",1190.06353560081,2.13134698668694,0.0785061052200082,27.1488055701398,2.61558176092296e-162,2.51740267743324e-160,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000125384",562.779146692896,-2.72079025370474,0.10044193914898,-27.0881892241162,1.35656378692264e-161,1.29625037538896e-159,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000152223",2690.47150334747,-1.50603676140131,0.0558177419873321,-26.9813272228587,2.44807052787386e-160,2.32251948223004e-158,"EPG5","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000075426",1241.54577193998,-2.02421556469225,0.0751040359623907,-26.9521542851027,5.38209703138603e-160,5.06985906176378e-158,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000147883",1092.60954361111,2.17986457158737,0.0809497908386675,26.9286004201275,1.01604221839677e-159,9.50357235545486e-158,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000147065",17820.4971549208,-1.0301030630416,0.038293089986372,-26.9004946690957,2.16714334547852e-159,2.01286698703816e-157,"MSN","4478","moesin"
"ENSG00000174574",1409.88985133804,-1.7444466138871,0.0648718368908997,-26.8906616105364,2.82424271134056e-159,2.60497164527953e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000119326",1060.1999959954,-2.06906853305327,0.0770052239576949,-26.869197006556,5.03293664995508e-159,4.61016997135886e-157,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000113319",1375.65463563177,1.7203476885113,0.064048939203305,26.8598935425073,6.46421982961361e-159,5.88066902581698e-157,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000167900",535.537322697115,-2.9932700915207,0.11167589390165,-26.8031890047533,2.96617992672438e-158,2.68005454331654e-156,"TK1","7083","thymidine kinase 1"
"ENSG00000091844",494.500786591075,2.80824049491222,0.104829497154205,26.788647958325,4.38178755008994e-158,3.93235825947936e-156,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000100106",1548.43376339178,-1.54579253722856,0.0581049725595458,-26.603446643821,6.1925547500151e-156,5.52010148924165e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150542,26.5933696049238,8.09914671383474e-156,7.17152444354354e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000042062",529.580434708431,3.50764107963998,0.132543074757042,26.4641595652558,2.50735416555245e-154,2.20547536601773e-152,"RIPOR3","140876","RIPOR family member 3"
"ENSG00000167553",3002.80270522025,-1.43649987399655,0.0543871411798856,-26.4124909460735,9.84741116974787e-154,8.60482336556522e-152,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000100647",1393.45153066727,1.71994684444317,0.0651478761826581,26.4006587048344,1.34651432134346e-153,1.1689152428813e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000145386",450.26224000273,-3.10925685899936,0.11812204360012,-26.3224099773043,1.06252750255328e-152,9.16395473306019e-151,"CCNA2","890","cyclin A2"
"ENSG00000139318",1424.14713666972,1.67884806484174,0.0638366571421123,26.2991224791785,1.96255065252722e-152,1.68171598495913e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000151617",710.546799779895,2.15467096636503,0.0821809922956791,26.2186048887404,1.63071373413694e-151,1.38840639851326e-149,"EDNRA","1909","endothelin receptor type A"
"ENSG00000113810",918.429735878976,-1.98563340952901,0.0758284819016127,-26.1858520668443,3.8514939104176e-151,3.2583147845966e-149,"SMC4","10051","structural maintenance of chromosomes 4"
"ENSG00000169439",2385.18491369971,1.32445697241236,0.0507893129897955,26.0774736740083,6.56740631148036e-150,5.52077788791659e-148,"SDC2","6383","syndecan 2"
"ENSG00000091409",2615.20252718009,-1.34483375879736,0.0516184470554299,-26.053355641506,1.23257193043441e-149,1.02962392327231e-147,"ITGA6","3655","integrin subunit alpha 6"
